,timestamp,stored,actor,verb,object,result
1235,2023-05-09 06:20:00.246000+00:00,2023-05-09T06:20:00.246Z,Android104,Swiped,Right,"{""score"":{""raw"":0}}"
1234,2023-05-09 06:20:00.555000+00:00,2023-05-09T06:20:00.555Z,Android104,Swiped,Left,"{""score"":{""raw"":0}}"
1233,2023-05-09 06:20:00.818000+00:00,2023-05-09T06:20:00.818Z,Android104,Swiped,Right,"{""score"":{""raw"":0}}"
1232,2023-05-09 06:20:03.510000+00:00,2023-05-09T06:20:03.510Z,iPhone102,Swiped,Left,"{""score"":{""raw"":0}}"
1231,2023-05-09 06:20:03.694000+00:00,2023-05-09T06:20:03.694Z,iPhone102,Swiped,Right,"{""score"":{""raw"":0}}"
1230,2023-05-09 06:20:03.754000+00:00,2023-05-09T06:20:03.754Z,Android104,Swiped,Left,"{""score"":{""raw"":0}}"
1228,2023-05-09 06:20:12.613000+00:00,2023-05-09T06:20:12.613Z,Teacher,Asked,0/0,
1229,2023-05-09 06:20:12.613000+00:00,2023-05-09T06:20:12.613Z,Teacher,Started,small-countries,
1227,2023-05-09 06:20:19.342000+00:00,2023-05-09T06:20:19.342Z,Android104,Swiped,Left,"{""score"":{""raw"":0}}"
1226,2023-05-09 06:20:19.521000+00:00,2023-05-09T06:20:19.521Z,Android104,Swiped,Right,"{""score"":{""raw"":0}}"
1225,2023-05-09 06:20:30.465000+00:00,2023-05-09T06:20:30.465Z,Android104,Swiped,Left,"{""score"":{""raw"":0}}"
1224,2023-05-09 06:21:03.027000+00:00,2023-05-09T06:21:03.027Z,Android102,Logged Out,Deusto,"{""score"":{""raw"":0}}"
1223,2023-05-09 06:22:03.146000+00:00,2023-05-09T06:22:03.146Z,Android104,Logged In,Deusto,"{""score"":{""raw"":0}}"
1222,2023-05-09 06:22:13.010000+00:00,2023-05-09T06:22:13.010Z,Android101,Logged Out,Deusto,"{""score"":{""raw"":0}}"
1221,2023-05-09 06:22:33.542000+00:00,2023-05-09T06:22:33.542Z,iPhone102,Logged In,Deusto,"{""score"":{""raw"":0}}"
1220,2023-05-09 06:22:39.136000+00:00,2023-05-09T06:22:39.136Z,pc010,Logged In,Deusto,
1219,2023-05-09 06:22:40.779000+00:00,2023-05-09T06:22:40.779Z,Android102,Logged In,Deusto,"{""score"":{""raw"":0}}"
1218,2023-05-09 06:22:43.902000+00:00,2023-05-09T06:22:43.902Z,Teacher,Logged In,Deusto,
1217,2023-05-09 06:22:50.712000+00:00,2023-05-09T06:22:50.712Z,Android102,Placed,Earth,"{""score"":{""raw"":0}}"
1216,2023-05-09 06:22:51.657000+00:00,2023-05-09T06:22:51.657Z,Iphone 101,Logged In,Deusto,"{""score"":{""raw"":0}}"
1215,2023-05-09 06:22:57.037000+00:00,2023-05-09T06:22:57.037Z,Android102,Placed,Earth,"{""score"":{""raw"":0}}"
1214,2023-05-09 06:22:57.808000+00:00,2023-05-09T06:22:57.808Z,Iphone 101,Placed,Earth,"{""score"":{""raw"":0}}"
1213,2023-05-09 06:23:02.122000+00:00,2023-05-09T06:23:02.122Z,AR4Education,Logged In,Deusto,"{""score"":{""raw"":0}}"
1212,2023-05-09 06:23:03.308000+00:00,2023-05-09T06:23:03.308Z,Android102,Logged Out,Deusto,"{""score"":{""raw"":0}}"
1211,2023-05-09 06:23:08.710000+00:00,2023-05-09T06:23:08.710Z,Teacher,Logged In,Deusto,
