,timestamp,stored,actor,verb,object,result
806,2023-05-10 06:29:09.393000+00:00,2023-05-10T06:29:09.393Z,Android202,Canceled,"(-0.17746638716659682,_-0.16955361721893875, 0.43561159988552767), (-19.82, 112.17)",
805,2023-05-10 06:29:10.283000+00:00,2023-05-10T06:29:10.283Z,Iphone202,Suggested,south-america|NOK,"{""score"":{""raw"":0}}"
804,2023-05-10 06:29:11.895000+00:00,2023-05-10T06:29:11.895Z,Android202,Swiped,Left,"{""score"":{""raw"":0}}"
803,2023-05-10 06:29:14.761000+00:00,2023-05-10T06:29:14.761Z,PC026,Suggested,asia|OK,
802,2023-05-10 06:29:18.122000+00:00,2023-05-10T06:29:18.122Z,Android202,Placed,"(-0.2740170328828093,_-0.013796182170030426, 0.4180004021789569), (-1.58, 123.25)",
801,2023-05-10 06:29:19.623000+00:00,2023-05-10T06:29:19.623Z,Android201,Suggested,,"{""score"":{""raw"":0}}"
800,2023-05-10 06:29:20.459000+00:00,2023-05-10T06:29:20.459Z,Android204,Suggested,,"{""score"":{""raw"":0}}"
799,2023-05-10 06:29:20.485000+00:00,2023-05-10T06:29:20.485Z,PC029,Suggested,down|,
798,2023-05-10 06:29:21.172000+00:00,2023-05-10T06:29:21.172Z,PC024,Suggested,up|,
797,2023-05-10 06:29:21.278000+00:00,2023-05-10T06:29:21.278Z,Android202,Sent,"(-0.27397578954696655,_-0.016295047476887703, 0.4179374873638153), (-1.58, 123.25) 5",
796,2023-05-10 06:29:21.287000+00:00,2023-05-10T06:29:21.287Z,Teacher,Checked,"{""type"":""Answer"",""sender"":""#u_s_Android202"",""name"":""Earth"",""screenshot"":"""",""px"":-0.27397578954696655,""py"":-0.016295047476887703,""pz"":0.4179374873638153,""sx"":0.0020000000949949026,""sy"":0.0020000000949949026,""sz"":0.0020000000949949026,""rx"":0.4082573652267456,""ry"":-0.08281726390123367,""rz"":-0.9083400964736938,""time_left"":5.042942523956299}",
795,2023-05-10 06:29:21.567000+00:00,2023-05-10T06:29:21.567Z,Tablet201,Placed,Earth,"{""score"":{""raw"":0}}"
794,2023-05-10 06:29:21.570000+00:00,2023-05-10T06:29:21.570Z,Teacher,Assigned,2.63;Android202,
793,2023-05-10 06:29:22.535000+00:00,2023-05-10T06:29:22.535Z,iPhone201,Swiped,Left,"{""score"":{""raw"":0}}"
792,2023-05-10 06:29:24.386000+00:00,2023-05-10T06:29:24.386Z,Teacher,Asked,2/6,
791,2023-05-10 06:29:29.292000+00:00,2023-05-10T06:29:29.292Z,Iphone202,Accepted,6,"{""score"":{""raw"":0}}"
790,2023-05-10 06:29:29.352000+00:00,2023-05-10T06:29:29.352Z,Teacher,Set Turn,Iphone202,
789,2023-05-10 06:29:30.512000+00:00,2023-05-10T06:29:30.512Z,iPhone201,Placed,Earth,"{""score"":{""raw"":0}}"
788,2023-05-10 06:29:33.763000+00:00,2023-05-10T06:29:33.763Z,Android203,Suggested,europe|NOK,"{""score"":{""raw"":0}}"
787,2023-05-10 06:29:34.775000+00:00,2023-05-10T06:29:34.775Z,Tablet201,Placed,Earth,"{""score"":{""raw"":0}}"
786,2023-05-10 06:29:35.093000+00:00,2023-05-10T06:29:35.093Z,Android204,Suggested,asia|OK,"{""score"":{""raw"":0}}"
785,2023-05-10 06:29:35.442000+00:00,2023-05-10T06:29:35.442Z,Iphone202,Swiped,Left,"{""score"":{""raw"":0}}"
784,2023-05-10 06:29:36.798000+00:00,2023-05-10T06:29:36.798Z,PC024,Suggested,europe|NOK,
783,2023-05-10 06:29:37.326000+00:00,2023-05-10T06:29:37.326Z,PC029,Suggested,asia|OK,
782,2023-05-10 06:29:37.498000+00:00,2023-05-10T06:29:37.498Z,PC011,Suggested,south-america|NOK,
781,2023-05-10 06:29:39.731000+00:00,2023-05-10T06:29:39.731Z,PC028,Suggested,asia|OK,
780,2023-05-10 06:29:40.327000+00:00,2023-05-10T06:29:40.327Z,iPhone201,Suggested,asia|OK,"{""score"":{""raw"":0}}"
779,2023-05-10 06:29:40.479000+00:00,2023-05-10T06:29:40.479Z,PC025,Suggested,africa|NOK,
778,2023-05-10 06:29:40.763000+00:00,2023-05-10T06:29:40.763Z,Tablet201,Placed,Earth,"{""score"":{""raw"":0}}"
777,2023-05-10 06:29:42.980000+00:00,2023-05-10T06:29:42.980Z,Tablet201,Placed,Earth,"{""score"":{""raw"":0}}"
776,2023-05-10 06:29:49.508000+00:00,2023-05-10T06:29:49.508Z,Iphone202,Swiped,Left,"{""score"":{""raw"":0}}"
775,2023-05-10 06:29:51.661000+00:00,2023-05-10T06:29:51.661Z,PC026,Suggested,europe|NOK,
774,2023-05-10 06:29:52.152000+00:00,2023-05-10T06:29:52.152Z,Tablet202,Suggested,europe|NOK,"{""score"":{""raw"":0}}"
773,2023-05-10 06:29:53.646000+00:00,2023-05-10T06:29:53.646Z,Android201,Suggested,europe|NOK,"{""score"":{""raw"":0}}"
772,2023-05-10 06:29:55.710000+00:00,2023-05-10T06:29:55.710Z,Iphone202,Placed,"(0.3145931793992638,_0.3283431616151855, 0.2078991797904857), (41.05, 33.46)",
771,2023-05-10 06:29:58.005000+00:00,2023-05-10T06:29:58.005Z,Android204,Suggested,,"{""score"":{""raw"":0}}"
770,2023-05-10 06:29:58.355000+00:00,2023-05-10T06:29:58.355Z,Android201,Suggested,,"{""score"":{""raw"":0}}"
769,2023-05-10 06:29:58.490000+00:00,2023-05-10T06:29:58.490Z,PC029,Suggested,down|,
768,2023-05-10 06:30:00.173000+00:00,2023-05-10T06:30:00.173Z,PC022,Suggested,up|,
767,2023-05-10 06:30:00.402000+00:00,2023-05-10T06:30:00.402Z,Iphone202,Canceled,"(0.3145931793992638,_0.3283431616151855, 0.2078991797904857), (41.05, 33.46)",
766,2023-05-10 06:30:02.031000+00:00,2023-05-10T06:30:02.031Z,Iphone202,Swiped,Right,"{""score"":{""raw"":0}}"
765,2023-05-10 06:30:08.528000+00:00,2023-05-10T06:30:08.528Z,PC023,Suggested,up|,
764,2023-05-10 06:30:09.436000+00:00,2023-05-10T06:30:09.436Z,Android201,Suggested,,"{""score"":{""raw"":0}}"
763,2023-05-10 06:30:09.478000+00:00,2023-05-10T06:30:09.478Z,PC029,Suggested,down|,
762,2023-05-10 06:30:09.490000+00:00,2023-05-10T06:30:09.490Z,Iphone202,Placed,"(0.3176702100889217,_0.322091551405613, 0.21293846296885874), (40.10, 33.83)",
761,2023-05-10 06:30:10.152000+00:00,2023-05-10T06:30:10.152Z,PC028,Suggested,up|,
760,2023-05-10 06:30:10.208000+00:00,2023-05-10T06:30:10.208Z,Android204,Suggested,,"{""score"":{""raw"":0}}"
759,2023-05-10 06:30:10.991000+00:00,2023-05-10T06:30:10.991Z,PC011,Suggested,down|,
758,2023-05-10 06:30:11.128000+00:00,2023-05-10T06:30:11.128Z,PC025,Suggested,down|,
757,2023-05-10 06:30:11.909000+00:00,2023-05-10T06:30:11.909Z,PC024,Suggested,up|,
